customer_id,source,username,region,device,app_version,timestamp,rating,sentiment,review_text,theme,severity,strategic_goal,helpful_votes,feedback_text,author_handle,source_channel,account_name,account_type,contact_role,deal_stage,note_type,product_area,note_text,ARR_impact_estimate_USD,requested_feature,blocker,next_step,handle,followers,verified,tweet_text,likes,retweets,reply_count,source_weight,impact_score
IOS-011,iOS App Store,ios_c02dgtfg,EU-FR,iPhone 13,11.2.0,2025-06-07 17:06:00,4.0,positive,Loving Advanced Trade—depth charts and order book are spot on.,"Payments, Deposits & Withdrawals",0.88,CX Efficiency,10.0,Loving Advanced Trade—depth charts and order book are spot on.,ios_c02dgtfg,iOS App Store,,,,,,,,,,,,,,,,,,,5.0,0.88
IOS-012,iOS App Store,ios_r56fao72,US-IL,iPhone 15,11.4.0,2025-08-02 22:31:00,4.0,positive,Great upgrade from Pro; same power inside the main app.,Tax Docs & Reporting,0.34,Compliance,37.0,Great upgrade from Pro; same power inside the main app.,ios_r56fao72,iOS App Store,,,,,,,,,,,,,,,,,,,7.7,0.5236
IOS-013,iOS App Store,ios_0cvs4f8c,US-TX,iPhone 12,11.4.0,2025-03-03 21:55:00,4.0,positive,Alerting + TradingView charts make decisions faster for me.,Onboarding/KYC & Account Holds,0.2,Compliance,15.0,Alerting + TradingView charts make decisions faster for me.,ios_0cvs4f8c,iOS App Store,,,,,,,,,,,,,,,,,,,5.5,0.22
IOS-014,iOS App Store,ios_wpvs7hzi,EU-DE,iPhone 13,11.3.0,2025-06-11 10:59:00,4.0,positive,Alerting + TradingView charts make decisions faster for me.,Onboarding/KYC & Account Holds,0.47,Compliance,6.0,Alerting + TradingView charts make decisions faster for me.,ios_wpvs7hzi,iOS App Store,,,,,,,,,,,,,,,,,,,4.6,0.4324
IOS-015,iOS App Store,ios_hj755nf4,SG,iPhone 14,11.4.0,2025-07-31 16:00:00,5.0,positive,Loving Advanced Trade—depth charts and order book are spot on.,Performance/Outages,0.85,Trust&Safety,16.0,Loving Advanced Trade—depth charts and order book are spot on.,ios_hj755nf4,iOS App Store,,,,,,,,,,,,,,,,,,,6.6,1.122
IOS-016,iOS App Store,ios_0fkhmy4s,US-IL,iPhone 12,11.2.0,2025-07-26 13:53:00,5.0,positive,Loving Advanced Trade—depth charts and order book are spot on.,"Payments, Deposits & Withdrawals",0.1,CX Efficiency,40.0,Loving Advanced Trade—depth charts and order book are spot on.,ios_0fkhmy4s,iOS App Store,,,,,,,,,,,,,,,,,,,9.0,0.18
IOS-017,iOS App Store,ios_fpzue8yf,US-CA,iPhone 14,11.4.0,2025-07-05 04:27:00,4.0,positive,Fast fills on BTC/ETH; fees are clear on the receipt.,Trading/Execution & Fees,0.35,Growth,22.0,Fast fills on BTC/ETH; fees are clear on the receipt.,ios_fpzue8yf,iOS App Store,,,,,,,,,,,,,,,,,,,6.2,0.434
IOS-018,iOS App Store,ios_yymu5907,US-FL,iPhone 13,11.2.1,2025-05-30 00:11:00,2.0,negative,App froze during a volatile move; missed my entry.,Performance/Outages,0.74,Trust&Safety,17.0,App froze during a volatile move; missed my entry.,ios_yymu5907,iOS App Store,,,,,,,,,,,,,,,,,,,3.7,8.214
IOS-019,iOS App Store,ios_2d54i3qk,JP,iPhone 13,11.2.1,2025-02-20 21:12:00,2.0,negative,App froze during a volatile move; missed my entry.,Performance/Outages,0.32,Trust&Safety,49.0,App froze during a volatile move; missed my entry.,ios_2d54i3qk,iOS App Store,,,,,,,,,,,,,,,,,,,6.9,6.624
IOS-020,iOS App Store,ios_msy4la5j,CA,iPhone 14,11.2.0,2025-03-13 19:27:00,2.0,negative,Account recheck blocked withdrawals longer than expected.,Onboarding/KYC & Account Holds,0.45,Compliance,7.0,Account recheck blocked withdrawals longer than expected.,ios_msy4la5j,iOS App Store,,,,,,,,,,,,,,,,,,,2.7,3.645
IOS-021,iOS App Store,ios_6gbps3y7,SG,iPhone SE,11.2.1,2025-05-18 13:04:00,2.0,negative,Support bounced me between channels; no clear resolution path.,Support Experience,0.63,CX Efficiency,46.0,Support bounced me between channels; no clear resolution path.,ios_6gbps3y7,iOS App Store,,,,,,,,,,,,,,,,,,,6.6,12.474
IOS-022,iOS App Store,ios_sylztgxn,SG,iPhone 13,11.4.0,2025-07-09 09:25:00,2.0,negative,Account recheck blocked withdrawals longer than expected.,Onboarding/KYC & Account Holds,0.33,Compliance,50.0,Account recheck blocked withdrawals longer than expected.,ios_sylztgxn,iOS App Store,,,,,,,,,,,,,,,,,,,7.0,6.93
IOS-023,iOS App Store,ios_vlpys280,AU,iPhone 12,11.3.0,2025-06-25 21:40:00,1.0,negative,Gas/fee estimates confusing for first on-chain transfer.,Wallet & On-chain UX,0.75,Onchain Adoption,43.0,Gas/fee estimates confusing for first on-chain transfer.,ios_vlpys280,iOS App Store,,,,,,,,,,,,,,,,,,,5.3,11.925
IOS-024,iOS App Store,ios_ihair4co,AU,iPad Pro,11.2.1,2025-08-11 12:31:00,1.0,negative,Account recheck blocked withdrawals longer than expected.,Onboarding/KYC & Account Holds,0.22,Compliance,48.0,Account recheck blocked withdrawals longer than expected.,ios_ihair4co,iOS App Store,,,,,,,,,,,,,,,,,,,5.8,3.828
IOS-025,iOS App Store,ios_2h2zqu7e,US-TX,iPhone 15,11.4.0,2025-07-07 19:20:00,2.0,negative,Price execution feels off vs reference; need clearer spread breakdown.,Trading/Execution & Fees,0.76,Growth,28.0,Price execution feels off vs reference; need clearer spread breakdown.,ios_2h2zqu7e,iOS App Store,,,,,,,,,,,,,,,,,,,4.8,10.944
IOS-026,iOS App Store,ios_0rjiw1sw,US-IL,iPhone 15,11.2.0,2025-04-28 07:17:00,2.0,negative,App froze during a volatile move; missed my entry.,Performance/Outages,0.81,Trust&Safety,8.0,App froze during a volatile move; missed my entry.,ios_0rjiw1sw,iOS App Store,,,,,,,,,,,,,,,,,,,2.8,6.804
IOS-027,iOS App Store,ios_iyzcotoh,EU-DE,iPhone 15,11.4.0,2025-08-11 00:54:00,2.0,negative,App froze during a volatile move; missed my entry.,Performance/Outages,0.1,Trust&Safety,19.0,App froze during a volatile move; missed my entry.,ios_iyzcotoh,iOS App Store,,,,,,,,,,,,,,,,,,,3.9,1.17
IOS-028,iOS App Store,ios_48p0tvhh,EU-DE,iPhone 15,11.2.0,2025-05-24 10:42:00,1.0,negative,Support bounced me between channels; no clear resolution path.,Support Experience,0.77,CX Efficiency,39.0,Support bounced me between channels; no clear resolution path.,ios_48p0tvhh,iOS App Store,,,,,,,,,,,,,,,,,,,4.9,11.319
IOS-029,iOS App Store,ios_aouaxeqb,EU-DE,iPhone 14,11.2.1,2025-06-10 10:21:00,2.0,negative,Gas/fee estimates confusing for first on-chain transfer.,Wallet & On-chain UX,0.7,Onchain Adoption,16.0,Gas/fee estimates confusing for first on-chain transfer.,ios_aouaxeqb,iOS App Store,,,,,,,,,,,,,,,,,,,3.6,7.56
IOS-030,iOS App Store,ios_q0b8ic8b,US-CA,iPhone 13,11.2.1,2025-02-19 19:09:00,1.0,negative,Price execution feels off vs reference; need clearer spread breakdown.,Trading/Execution & Fees,0.48,Growth,36.0,Price execution feels off vs reference; need clearer spread breakdown.,ios_q0b8ic8b,iOS App Store,,,,,,,,,,,,,,,,,,,4.6,6.624
IOS-031,iOS App Store,ios_qjnv8z2f,US-IL,iPhone 12,11.4.0,2025-02-20 09:36:00,2.0,negative,App froze during a volatile move; missed my entry.,Performance/Outages,0.85,Trust&Safety,4.0,App froze during a volatile move; missed my entry.,ios_qjnv8z2f,iOS App Store,,,,,,,,,,,,,,,,,,,2.4,6.12
IOS-032,iOS App Store,ios_ywd14ve9,JP,iPhone 12,11.3.0,2025-06-30 13:42:00,1.0,negative,Gas/fee estimates confusing for first on-chain transfer.,Wallet & On-chain UX,0.5,Onchain Adoption,0.0,Gas/fee estimates confusing for first on-chain transfer.,ios_ywd14ve9,iOS App Store,,,,,,,,,,,,,,,,,,,1.0,1.5
IOS-033,iOS App Store,ios_3d8w3zp0,AU,iPhone 14,11.4.0,2025-07-01 15:29:00,2.0,negative,Support bounced me between channels; no clear resolution path.,Support Experience,0.36,CX Efficiency,5.0,Support bounced me between channels; no clear resolution path.,ios_3d8w3zp0,iOS App Store,,,,,,,,,,,,,,,,,,,2.5,2.7
IOS-034,iOS App Store,ios_iqvnb4gh,JP,iPhone 14,11.3.0,2025-04-26 19:44:00,3.0,neutral,Saw new pairs listed; undecided if I’ll trade them.,Tax Docs & Reporting,0.51,Compliance,5.0,Saw new pairs listed; undecided if I’ll trade them.,ios_iqvnb4gh,iOS App Store,,,,,,,,,,,,,,,,,,,3.5,1.785
IOS-035,iOS App Store,ios_r1yxr2dh,SG,iPhone 13,11.3.0,2025-08-02 18:23:00,3.0,neutral,Using limit orders mainly; haven’t tried advanced triggers yet.,Product Availability by Region,0.44,Growth,21.0,Using limit orders mainly; haven’t tried advanced triggers yet.,ios_r1yxr2dh,iOS App Store,,,,,,,,,,,,,,,,,,,5.1,2.244
IOS-036,iOS App Store,ios_jjeget1g,US-FL,iPhone SE,11.3.1,2025-04-25 23:37:00,3.0,neutral,Saw new pairs listed; undecided if I’ll trade them.,Tax Docs & Reporting,0.77,Compliance,14.0,Saw new pairs listed; undecided if I’ll trade them.,ios_jjeget1g,iOS App Store,,,,,,,,,,,,,,,,,,,4.4,3.388
IOS-037,iOS App Store,ios_kzebbk7w,JP,iPhone 15,11.2.0,2025-02-17 18:18:00,3.0,neutral,Saw new pairs listed; undecided if I’ll trade them.,Trading/Execution & Fees,0.45,Growth,3.0,Saw new pairs listed; undecided if I’ll trade them.,ios_kzebbk7w,iOS App Store,,,,,,,,,,,,,,,,,,,3.3,1.485
IOS-038,iOS App Store,ios_ecruyf38,US-NY,iPhone 13,11.2.0,2025-07-06 13:38:00,3.0,neutral,Saw new pairs listed; undecided if I’ll trade them.,Tax Docs & Reporting,0.46,Compliance,19.0,Saw new pairs listed; undecided if I’ll trade them.,ios_ecruyf38,iOS App Store,,,,,,,,,,,,,,,,,,,4.9,2.254
IOS-039,iOS App Store,ios_kwv08hhx,US-TX,iPhone 13,11.2.1,2025-07-05 02:10:00,3.0,neutral,Using bank transfer; settlement times are predictable so far.,Product Availability by Region,0.46,Growth,30.0,Using bank transfer; settlement times are predictable so far.,ios_kwv08hhx,iOS App Store,,,,,,,,,,,,,,,,,,,6.0,2.76
IOS-040,iOS App Store,ios_izzqy72w,AU,iPhone 13,11.3.1,2025-03-15 17:14:00,3.0,neutral,Saw new pairs listed; undecided if I’ll trade them.,Onboarding/KYC & Account Holds,0.76,Compliance,3.0,Saw new pairs listed; undecided if I’ll trade them.,ios_izzqy72w,iOS App Store,,,,,,,,,,,,,,,,,,,3.3,2.508
IOS-041,iOS App Store,ios_v37pqkoj,EU-ES,iPhone 15,11.3.1,2025-03-06 19:02:00,3.0,neutral,Using limit orders mainly; haven’t tried advanced triggers yet.,Wallet & On-chain UX,0.58,Onchain Adoption,5.0,Using limit orders mainly; haven’t tried advanced triggers yet.,ios_v37pqkoj,iOS App Store,,,,,,,,,,,,,,,,,,,3.5,2.03
IOS-042,iOS App Store,ios_9yjb1qx6,US-TX,iPad Pro,11.3.1,2025-07-26 15:05:00,3.0,neutral,Using limit orders mainly; haven’t tried advanced triggers yet.,Onboarding/KYC & Account Holds,0.43,Compliance,42.0,Using limit orders mainly; haven’t tried advanced triggers yet.,ios_9yjb1qx6,iOS App Store,,,,,,,,,,,,,,,,,,,7.2,3.096
IOS-043,iOS App Store,ios_lyk83tql,UK,iPhone 12,11.3.1,2025-06-25 00:42:00,3.0,neutral,Switched to Advanced Trade after Pro sunset; still exploring features.,Trading/Execution & Fees,0.14,Growth,23.0,Switched to Advanced Trade after Pro sunset; still exploring features.,ios_lyk83tql,iOS App Store,,,,,,,,,,,,,,,,,,,5.3,0.742
IOS-044,iOS App Store,ios_w1ht7pze,AU,iPad Pro,11.2.1,2025-03-26 09:35:00,3.0,neutral,Using bank transfer; settlement times are predictable so far.,Tax Docs & Reporting,0.17,Compliance,29.0,Using bank transfer; settlement times are predictable so far.,ios_w1ht7pze,iOS App Store,,,,,,,,,,,,,,,,,,,5.9,1.003
IOS-045,iOS App Store,ios_rzsj49it,EU-DE,iPhone 13,11.4.0,2025-06-24 23:56:00,3.0,neutral,Switched to Advanced Trade after Pro sunset; still exploring features.,Trading/Execution & Fees,0.32,Growth,21.0,Switched to Advanced Trade after Pro sunset; still exploring features.,ios_rzsj49it,iOS App Store,,,,,,,,,,,,,,,,,,,5.1,1.632
IOS-046,iOS App Store,ios_3kkv9rft,UK,iPhone 14,11.4.0,2025-07-03 12:29:00,3.0,neutral,Using bank transfer; settlement times are predictable so far.,Wallet & On-chain UX,0.88,Onchain Adoption,36.0,Using bank transfer; settlement times are predictable so far.,ios_3kkv9rft,iOS App Store,,,,,,,,,,,,,,,,,,,6.6,5.808
IOS-047,iOS App Store,ios_i1b0z3nx,BR,iPhone SE,11.2.1,2025-06-20 01:08:00,3.0,neutral,Charts load fine; volume varies by pair and time of day.,Performance/Outages,0.8,Trust&Safety,6.0,Charts load fine; volume varies by pair and time of day.,ios_i1b0z3nx,iOS App Store,,,,,,,,,,,,,,,,,,,3.6,2.88
IOS-048,iOS App Store,ios_af58c2jw,EU-DE,iPhone SE,11.2.0,2025-05-09 21:54:00,3.0,neutral,Using bank transfer; settlement times are predictable so far.,Tax Docs & Reporting,0.6,Compliance,34.0,Using bank transfer; settlement times are predictable so far.,ios_af58c2jw,iOS App Store,,,,,,,,,,,,,,,,,,,6.4,3.84
IOS-049,iOS App Store,ios_iykid91z,US-NY,iPhone 15,11.2.1,2025-08-10 09:57:00,3.0,neutral,Switched to Advanced Trade after Pro sunset; still exploring features.,"Payments, Deposits & Withdrawals",0.36,CX Efficiency,18.0,Switched to Advanced Trade after Pro sunset; still exploring features.,ios_iykid91z,iOS App Store,,,,,,,,,,,,,,,,,,,4.8,1.728
IOS-050,iOS App Store,ios_pioyggvn,AU,iPhone 13,11.3.1,2025-07-13 04:14:00,3.0,neutral,Saw new pairs listed; undecided if I’ll trade them.,"Security, Fraud & Phishing",0.47,Trust&Safety,29.0,Saw new pairs listed; undecided if I’ll trade them.,ios_pioyggvn,iOS App Store,,,,,,,,,,,,,,,,,,,5.9,2.773
GP-001,Google Play Store,and_yfpmvxpj,BR,Pixel 8,11.2.1,2025-05-23 15:06:00,4.0,positive,Fast fills on BTC/ETH; fees are clear on the receipt.,Trading/Execution & Fees,0.56,Growth,18.0,Fast fills on BTC/ETH; fees are clear on the receipt.,and_yfpmvxpj,Google Play Store,,,,,,,,,,,,,,,,,,,5.8,0.6496
GP-002,Google Play Store,and_a3oa5296,SG,Galaxy S22,11.3.0,2025-04-13 19:51:00,5.0,positive,Fast fills on BTC/ETH; fees are clear on the receipt.,Trading/Execution & Fees,0.61,Growth,16.0,Fast fills on BTC/ETH; fees are clear on the receipt.,and_a3oa5296,Google Play Store,,,,,,,,,,,,,,,,,,,6.6,0.8052
GP-003,Google Play Store,and_6xlpu0dk,SG,Galaxy S22,11.2.1,2025-04-06 04:50:00,5.0,positive,Advanced UI is clean; limit and stop orders work exactly as expected.,"Payments, Deposits & Withdrawals",0.76,CX Efficiency,30.0,Advanced UI is clean; limit and stop orders work exactly as expected.,and_6xlpu0dk,Google Play Store,,,,,,,,,,,,,,,,,,,8.0,1.216
GP-004,Google Play Store,and_0me8f840,EU-DE,Nothing Phone 2,11.4.0,2025-05-18 02:50:00,5.0,positive,Fast fills on BTC/ETH; fees are clear on the receipt.,Trading/Execution & Fees,0.31,Growth,29.0,Fast fills on BTC/ETH; fees are clear on the receipt.,and_0me8f840,Google Play Store,,,,,,,,,,,,,,,,,,,7.9,0.4898
GP-005,Google Play Store,and_yyv37dia,IN,Galaxy S23,11.3.0,2025-07-20 07:41:00,4.0,positive,Fast fills on BTC/ETH; fees are clear on the receipt.,Trading/Execution & Fees,0.83,Growth,41.0,Fast fills on BTC/ETH; fees are clear on the receipt.,and_yyv37dia,Google Play Store,,,,,,,,,,,,,,,,,,,8.1,1.3446
GP-006,Google Play Store,and_f8krd5eq,AU,OnePlus 11,11.4.0,2025-06-01 18:47:00,4.0,positive,Great upgrade from Pro; same power inside the main app.,"Payments, Deposits & Withdrawals",0.62,CX Efficiency,39.0,Great upgrade from Pro; same power inside the main app.,and_f8krd5eq,Google Play Store,,,,,,,,,,,,,,,,,,,7.9,0.9796
GP-007,Google Play Store,and_bnp84dyt,AU,Pixel 8,11.2.0,2025-05-26 08:12:00,4.0,positive,Great upgrade from Pro; same power inside the main app.,Wallet & On-chain UX,0.17,Onchain Adoption,41.0,Great upgrade from Pro; same power inside the main app.,and_bnp84dyt,Google Play Store,,,,,,,,,,,,,,,,,,,8.1,0.2754
GP-008,Google Play Store,and_bm92h3tv,BR,Nothing Phone 2,11.2.1,2025-05-09 04:50:00,4.0,positive,Alerting + TradingView charts make decisions faster for me.,Onboarding/KYC & Account Holds,0.79,Compliance,8.0,Alerting + TradingView charts make decisions faster for me.,and_bm92h3tv,Google Play Store,,,,,,,,,,,,,,,,,,,4.8,0.7584
GP-009,Google Play Store,and_2d5em2va,US-IL,Pixel 6,11.2.1,2025-06-01 16:07:00,4.0,positive,Alerting + TradingView charts make decisions faster for me.,Wallet & On-chain UX,0.46,Onchain Adoption,32.0,Alerting + TradingView charts make decisions faster for me.,and_2d5em2va,Google Play Store,,,,,,,,,,,,,,,,,,,7.2,0.6624
GP-010,Google Play Store,and_qhw06xkx,US-CA,Pixel 6,11.3.1,2025-05-27 13:43:00,4.0,positive,Alerting + TradingView charts make decisions faster for me.,"Payments, Deposits & Withdrawals",0.67,CX Efficiency,4.0,Alerting + TradingView charts make decisions faster for me.,and_qhw06xkx,Google Play Store,,,,,,,,,,,,,,,,,,,4.4,0.5896
GP-011,Google Play Store,and_vcjwtl9t,EU-FR,Galaxy S23,11.4.0,2025-06-04 03:50:00,4.0,positive,Loving Advanced Trade—depth charts and order book are spot on.,"Security, Fraud & Phishing",0.44,Trust&Safety,26.0,Loving Advanced Trade—depth charts and order book are spot on.,and_vcjwtl9t,Google Play Store,,,,,,,,,,,,,,,,,,,6.6,0.5808
GP-012,Google Play Store,and_3o0llj8y,EU-FR,Pixel 6,11.2.0,2025-03-07 02:27:00,4.0,positive,Fast fills on BTC/ETH; fees are clear on the receipt.,Trading/Execution & Fees,0.75,Growth,3.0,Fast fills on BTC/ETH; fees are clear on the receipt.,and_3o0llj8y,Google Play Store,,,,,,,,,,,,,,,,,,,4.3,0.645
GP-013,Google Play Store,and_uyo57p6b,US-IL,Galaxy S23,11.3.0,2025-05-15 03:36:00,4.0,positive,Alerting + TradingView charts make decisions faster for me.,Performance/Outages,0.63,Trust&Safety,6.0,Alerting + TradingView charts make decisions faster for me.,and_uyo57p6b,Google Play Store,,,,,,,,,,,,,,,,,,,4.6,0.5796
GP-014,Google Play Store,and_4n1u3493,CA,OnePlus 11,11.4.0,2025-02-20 19:59:00,5.0,positive,Fast fills on BTC/ETH; fees are clear on the receipt.,Trading/Execution & Fees,0.24,Growth,21.0,Fast fills on BTC/ETH; fees are clear on the receipt.,and_4n1u3493,Google Play Store,,,,,,,,,,,,,,,,,,,7.1,0.3408
GP-015,Google Play Store,and_a5uofwb0,US-FL,Galaxy S22,11.3.1,2025-06-10 10:10:00,5.0,positive,Fast fills on BTC/ETH; fees are clear on the receipt.,Trading/Execution & Fees,0.68,Growth,38.0,Fast fills on BTC/ETH; fees are clear on the receipt.,and_a5uofwb0,Google Play Store,,,,,,,,,,,,,,,,,,,8.8,1.1968
GP-016,Google Play Store,and_f1bcppvo,US-FL,Nothing Phone 2,11.4.0,2025-03-15 11:27:00,4.0,positive,Loving Advanced Trade—depth charts and order book are spot on.,Onboarding/KYC & Account Holds,0.64,Compliance,31.0,Loving Advanced Trade—depth charts and order book are spot on.,and_f1bcppvo,Google Play Store,,,,,,,,,,,,,,,,,,,7.1,0.9088
GP-017,Google Play Store,and_bovakhej,UK,Pixel 6,11.2.0,2025-06-21 23:27:00,4.0,positive,Alerting + TradingView charts make decisions faster for me.,Wallet & On-chain UX,0.4,Onchain Adoption,32.0,Alerting + TradingView charts make decisions faster for me.,and_bovakhej,Google Play Store,,,,,,,,,,,,,,,,,,,7.2,0.576
GP-018,Google Play Store,and_43c5ba75,CA,Galaxy S22,11.4.0,2025-05-28 22:40:00,2.0,negative,Gas/fee estimates confusing for first on-chain transfer.,Wallet & On-chain UX,0.19,Onchain Adoption,20.0,Gas/fee estimates confusing for first on-chain transfer.,and_43c5ba75,Google Play Store,,,,,,,,,,,,,,,,,,,4.0,2.28
GP-019,Google Play Store,and_2w37d4iv,EU-ES,Pixel 6,11.3.1,2025-05-04 23:21:00,2.0,negative,App froze during a volatile move; missed my entry.,Performance/Outages,0.72,Trust&Safety,32.0,App froze during a volatile move; missed my entry.,and_2w37d4iv,Google Play Store,,,,,,,,,,,,,,,,,,,5.2,11.232
GP-020,Google Play Store,and_tg1m8xfd,US-IL,Pixel 7,11.2.1,2025-07-18 04:48:00,1.0,negative,Price execution feels off vs reference; need clearer spread breakdown.,Trading/Execution & Fees,0.86,Growth,29.0,Price execution feels off vs reference; need clearer spread breakdown.,and_tg1m8xfd,Google Play Store,,,,,,,,,,,,,,,,,,,3.9,10.062
GP-021,Google Play Store,and_1q7uww5w,US-TX,Galaxy S22,11.2.0,2025-06-14 14:40:00,2.0,negative,Gas/fee estimates confusing for first on-chain transfer.,Wallet & On-chain UX,0.57,Onchain Adoption,32.0,Gas/fee estimates confusing for first on-chain transfer.,and_1q7uww5w,Google Play Store,,,,,,,,,,,,,,,,,,,5.2,8.892
GP-022,Google Play Store,and_lqc3c54w,EU-ES,Galaxy S22,11.3.1,2025-07-12 17:50:00,2.0,negative,Price execution feels off vs reference; need clearer spread breakdown.,Trading/Execution & Fees,0.83,Growth,41.0,Price execution feels off vs reference; need clearer spread breakdown.,and_lqc3c54w,Google Play Store,,,,,,,,,,,,,,,,,,,6.1,15.189
GP-023,Google Play Store,and_lrfcd6mz,EU-ES,OnePlus 11,11.2.1,2025-02-24 07:45:00,2.0,negative,App froze during a volatile move; missed my entry.,Performance/Outages,0.52,Trust&Safety,10.0,App froze during a volatile move; missed my entry.,and_lrfcd6mz,Google Play Store,,,,,,,,,,,,,,,,,,,3.0,4.68
GP-024,Google Play Store,and_nkomv2xc,US-NY,Galaxy S23,11.3.1,2025-04-27 08:46:00,2.0,negative,Account recheck blocked withdrawals longer than expected.,Onboarding/KYC & Account Holds,0.17,Compliance,22.0,Account recheck blocked withdrawals longer than expected.,and_nkomv2xc,Google Play Store,,,,,,,,,,,,,,,,,,,4.2,2.142
GP-025,Google Play Store,and_8zov7ln2,BR,Pixel 7,11.4.0,2025-03-09 20:42:00,2.0,negative,Account recheck blocked withdrawals longer than expected.,Onboarding/KYC & Account Holds,0.11,Compliance,11.0,Account recheck blocked withdrawals longer than expected.,and_8zov7ln2,Google Play Store,,,,,,,,,,,,,,,,,,,3.1,1.023
GP-026,Google Play Store,and_m1g9fk2s,EU-ES,Nothing Phone 2,11.4.0,2025-02-23 21:21:00,2.0,negative,App froze during a volatile move; missed my entry.,Performance/Outages,0.22,Trust&Safety,44.0,App froze during a volatile move; missed my entry.,and_m1g9fk2s,Google Play Store,,,,,,,,,,,,,,,,,,,6.4,4.224
GP-027,Google Play Store,and_3fpoyipk,SG,Nothing Phone 2,11.3.1,2025-04-14 17:15:00,2.0,negative,Gas/fee estimates confusing for first on-chain transfer.,Wallet & On-chain UX,0.82,Onchain Adoption,23.0,Gas/fee estimates confusing for first on-chain transfer.,and_3fpoyipk,Google Play Store,,,,,,,,,,,,,,,,,,,4.3,10.578
